Master,Slave,Average Coherence
2021-03-13,2021-03-21,0.2591240108013153
2021-02-17,2021-03-09,0.24164234101772308
2021-04-14,2021-06-01,0.242561936378479
2021-02-09,2021-03-01,0.241677388548851
2021-03-13,2021-03-25,0.25239238142967224
2021-03-29,2021-04-30,0.2403535544872284
2021-02-09,2021-02-25,0.24296344816684723
2021-03-17,2021-04-14,0.24894146621227264
2022-01-27,2022-02-12,0.25955528020858765
2022-03-16,2022-03-20,0.2908965051174164
2021-02-09,2021-02-21,0.25109565258026123
2022-01-03,2022-02-08,0.23947812616825104
2021-03-25,2021-04-06,0.26005473732948303
2022-02-08,2022-02-12,0.3291100561618805
2021-03-17,2021-03-29,0.2494056224822998
2021-03-09,2021-03-25,0.24751266837120056
2021-03-01,2021-03-21,0.24255487322807312
2021-02-13,2021-03-01,0.24396345019340515
2021-04-30,2022-01-15,0.23888875544071198
2022-01-03,2022-01-07,0.2790597379207611
2021-04-06,2021-06-01,0.2449866086244583
2022-02-20,2022-03-20,0.24337440729141235
2021-02-13,2021-03-05,0.2402050644159317
2021-03-09,2021-03-21,0.2508559823036194
2021-02-21,2021-03-13,0.24262990057468414
2022-03-04,2022-03-20,0.2515791952610016
2021-06-01,2022-01-03,0.23870836198329926
2021-03-05,2021-03-13,0.2493864893913269
2022-02-24,2022-03-16,0.24059708416461945
2022-01-19,2022-02-08,0.24249565601348877
2021-02-13,2021-02-21,0.26352691650390625
2021-03-05,2021-03-17,0.24333980679512024
2021-06-01,2022-01-07,0.2396298050880432
2021-04-06,2021-04-14,0.30984926223754883
2021-02-13,2021-02-25,0.2467336803674698
2022-02-20,2022-02-24,0.3266412317752838
2021-02-25,2021-03-05,0.24656157195568085
2021-04-30,2021-06-01,0.25307220220565796
2021-04-06,2021-04-30,0.24399474263191223
2021-03-21,2021-03-29,0.2516416311264038
2022-01-07,2022-01-15,0.24311821162700653
2021-02-25,2021-03-01,0.31270793080329895
2021-06-01,2022-01-27,0.240190327167511
2022-02-20,2022-03-04,0.2503826320171356
2022-01-27,2022-02-08,0.24558672308921814
2022-02-12,2022-03-16,0.24191515147686005
2021-03-01,2021-03-05,0.2605628967285156
2022-01-03,2022-01-27,0.23951837420463562
2021-04-14,2021-04-30,0.24987369775772095
2022-01-03,2022-01-19,0.2398950457572937
